pair	inflected_pair	Source Language
make comment	make comment	I make no comment on the issue that was being raised , but this is the second time that access to Parliament has been impeded by the same demonstrators .
address issue	address issue	We have to address this issue .
address issue	address issues	We should sort this out now and address the other outstanding issues more seriously and more successfully once the Treaty of Nice comes into force .
address issue	address issue	Madam President , I should like to address the same issue .
understand question	understand question	I fully understand this question .
address issue	addressed issues	This is very important , because I believe that issues of taxation should be addressed by national parliaments and not decided centrally by the European Union .
cause confusion	caused confusion	Rejecting Nice would have caused delay and confusion .
address concern	address concerns	The visit obtained , as we have already heard , significant results and the European Union team had some five hours of interesting discussion with President Kim Chung-il during which it was able to address its concerns in full .
organise conference	organised conference	There have been several discussions on the issue in the Agriculture Council and a major conference was also organised in Stockholm late last month , as Mrs Winberg has just told you .
address issue	address issues	Of course , this presidency is not yet over and there will be further opportunities to address animal welfare issues .
address matter	address matter	The Food Safety Authority will need to address this matter .
invest money	invested monies	I am speaking today wearing a number of hats : firstly , as the surrogate father of this report ; secondly , as the draftsperson of the opinion ; and most importantly , as one who sees the tremendous advantages which can be gained for the European Union from a harmonised system of UCITS investment to ensure that monies presently being earned in Europe but invested outside the European Union and not put to the benefit of the Union economy can be retained within the economy for the creation of entrepreneurship , employment and also for guaranteeing future pension rights .
invest money	invested money	The number of people employed for the amount of money being invested is again quite disproportionate .
make remark	make remark	It is very discourteous to make that sort of remark , openly in the Chamber , when the Member concerned is not present .
ruin career	ruin career	We have to set up facilities that fight doping on an international basis because , as we have seen , one false accusation can ruin a career or cast a shadow over an exemplary career , such as that of Linford Christie .
reduce price	reducing price	I heard Commissioner Lamy speaking before about trade relations with the US . Will the United States be reducing the price that they pay their farmers for their sugar as we are going to do , or are they going to continue with their very high support ?
address problem	addressing problem	We have also presented a resolution to the Commission on narcotic drugs in March 2001 addressing the problem of the diversion of precursors for synthetic drugs and this proposal attracted wide support .
pose question	posed question	I have a further question - in fact I agree with all the questions posed by the honourable Member from the PPE-DE .
address question	addressed question	At any rate not such typology has been conveyed to us by way of complaints , unlike in the case of DVD , which is the subject on which we are conducting the inquiry and to which your question is addressed .
address problem	address problem	So this evening I should just like to address what I believe is a crucial problem that needs to be looked at in the short term : the whole question of how we encourage the development of electronic commerce to use these tools , to address the sort of business issues that some colleagues are already trying to frustrate , in my view , by moving prematurely to the sort of rigid opt-in arrangement that they are talking about .
address problem	addresses problem	My Amendment No 1 addresses this problem and I have inserted the word `` review '' to replace the word `` reduce '' , in order to cooperate with colleagues concerned about this issue .
address question	addressed question	The question whether participation in decision-taking should aim at the public at large or the `` public concerned '' is a key point , and it has been addressed by a number of Members who have just spoken .
invest money	invested money	There is no other option : if the EU wants to become a credible global player in the new economy and the information society , substantive amounts of money should be invested in this domain as soon as possible .
address question	addressed question	I would like to draw the President-in-Office of the Council 's attention to the fact that she has not addressed the second part of my question relating to the fact that British Nuclear Fuels has not yet established the economic benefits of the MOX fuel plant , which it is obliged to do before it can commission it under existing EU regulations .
make remark	make remark	That said , I should like to make a remark about the Watson report .
address problem	address problems	The Commission has taken due note of the proposal submitted by the International Committee of the Red Cross to address the problems caused by cluster bombs and other ` explosive remnants of war ' at the review conference of the UN Convention on the Prohibition or Restriction on the Use of Certain Conventional Weapons .
make remark	made remarks	I should like to make one final point and I am provoked - or encouraged - to do so by the interesting remarks made by Mr Brok .
make remark	made remark	In 206 cases a critical remark was made , in 48 cases the inquiry resulted in a draft accommodation or proposal for a friendly solution , most of it achieved a success for the complainant .
invest money	invest money	The Commission recently adopted a communication to the Council and Parliament on the defence equipment industry in which it points to some areas where substantial progress is possible in giving European Union taxpayers more value for the money they invest in their security .
address problem	addresses problem	There is the ` Red Card to Child Labour ' action being taken by FIFA and the ILO to jointly combat child labour , a very good campaign that directly addresses exactly the problem we are talking about here .
invest money	invested money	As Mr Crowley has mentioned , in Ireland we have introduced a reserve fund where 1 % of GDP is set aside each year , and there are some billions in this fund now ; in fact there is so much money in it that people are beginning to fight over how and where it should be invested .
address problem	addressing problems	It is now a balanced compromise which allows a significant pre-trade transparency requirement to go ahead whilst at the same time addressing some of the practical problems with the original proposal - as Mr Bolkestein says , ` in a pragmatic way ' .
address problem	address problems	It is , as far as I am concerned - and I agree with the Commissioner - very definitely a measure that should address primarily the issue of air pollution rather than that of health problems associated with those who use paints .
address problem	addressing problems	Reaching agreement at first reading stage will enable this decision to enter into force quickly and be implemented by the Member States and would be a further concrete demonstration of the Community 's commitment to addressing the problems of climate change .
address question	addressed questions	The Commission has recently been increasingly informed about alleged situations of illicit trafficking in human organs in Mozambique and Albania , not least through written questions recently addressed by Mr Ribeiro e Castro and Mrs Karamanou .
pose question	pose questions	Every attack poses new questions which require new answers and pose new challenges that we have to address jointly through concrete action .
reduce price	reduced price	European sugar prices currently stand at nearly three times the world price , and these artificially high prices must be reduced .
understand meaning	understood meaning	After 30 January 2000 , they understood the meaning of ` environmental policy ' : to prevent pollution of this kind , in which 100 000 m3 of hazardous sludge leaked into the River Tisza , destroying its flora and fauna .
invest money	invested money	Extensive work is being done , but more money needs to be invested and the Commission , and indeed the European Union , could be the right source .
make remark	made remarks	Indeed in the remarks that were made by my ministerial colleague the Foreign Secretary in this House this afternoon , he made clear that ` failure to sign off accounts for the eleventh successive year , which is very poor , affects the climate of debate in all our countries ' .
address problem	address problems	I think we may have problems with this machinery directive , but the Commissioner must address that .
address problem	address problems	-- Mr President , the measures being proposed in the report being debated appear to want to address female unemployment and equality problems , but really result in cutbacks to and the abolition of any positive arrangements and rights achieved by women through the hard struggle of the working-class , grass-roots and women 's movement .
address problem	address problems	If there is a good service there , then we surely need to tell more people about it ; and if resources are needed and the problems are at Member State level , we need to try and address that .
address question	address question	So we care very much about what you have said , but we also believe that the various types of sources should be combined to address both questions which I underlined , one being the question of aiming for the top , of having the best for Europe ; and the second , the question of how to deal with the others which may not be in the best position today .
address question	addressed question	The European Union 's innovation level and investments lag dramatically behind those of its trading partners and competitors ; the question of state aid should therefore be carefully addressed .
stimulate debate	stimulate debate	Listening is at the very heart of Plan D . The Commission has implemented a series of activities to stimulate the debate in all Member States and has given support to those countries which requested it .
address problem	address problem	One reason we had so many problems in getting agreement on future financing was that the Commission missed an opportunity to address the root problem of the current financial framework , namely the lack of flexibility .
address problem	address problems	These are not just legal problems , President-in-Office , but a profound political crisis which we must address .
address question	address question	It is also right to address not just the question of the text , but also the context -- , the Hampton Court agenda , the issues that are close to people -- and then , in due course , in a new context , we can decide what to do about the text .
address problem	addressing problem	We are following closely the problem of Pakistan 's non-implementation of schedules under the South Asia Free Trade Agreement and addressing this informally with this country .
make remark	made remarks	I will , however , pass on the remarks that you have made to Vice-President Barrot in order to see whether anything further can be done , although as I pointed out in my reply to the question , the Commission does not envisage coming up with additional measures before the final results of the assessment - which is being carried out by an external consultant - are known .
address problem	addressing problems	I fully support the Presidency in calling for a ` dispassionate dialogue on the matter ' , addressing the problems ` in a spirit of understanding and mutual respect ' .
address problem	addressing problem	In a few weeks ' time , once we have properly analysed all the responses , we will publish the replies , together with a statement on the feedback we received , and before the summer we will outline the different ways of addressing the problem of mass claims .
finalise deal	finalised deal	Mr President , I intend to verify carefully whether this scheme can be used in this case and you will certainly understand that I can not take a position at this stage since the deal is not yet finalised and , by the way , a number of aspects are still being negotiated .
invest money	invest money	Believe me , there are many other priorities in the UK to invest this money in , and now that the European Commission has warned that Britain is in danger of going bust due to its high level of national debt , this country would be happy to have a significant reduction in its EU contributions , and I am sure that other countries would also be happy with a similar reduction .
address problem	address problem	Firstly , OLAF assists and supports law enforcement authorities throughout the European Union with their cases , and organises and coordinates Europe-wide operations : Operation Diabolo in 2007 aimed at counterfeit from China which is smuggled in shipping containers to the EU ; Operation Mudan in 2008 , to address the growing problem of smuggling of cigarettes by post ; and Diabolo II , which had the same objective as the first Operation Diabolo , which took place in September 2009 .
address problem	address problem	However , we do not support calls for an EU legal base and further directives ( as in paragraphs 10 , 11 and 27 ) to address the problem .
address problem	addresses problems	We have also started an infringement procedure to ensure that Greece addresses the problems that have prevented the reporting of reliable budgetary statistics until now and the Commission announced its immediate initiative on audit powers for Eurostat .
address question	address question	I might not be able to give detailed replies to all aspects of the question , but I am happy to address them in a possible follow-up question .
address problem	address problems	We need national measures to address national problems defined according to national circumstances and in full respect of subsidiarity , but set within a common European framework .
address problem	address problems	It seems that , for some , a centralised European economic ` government ' is indeed the ambition , but this would not address the problems we face : it would be bad for our citizens , for our Member States and , I say , for the European Union itself .
make remark	make remark	The second remark I would like to make is about an amendment introduced by Mrs Muscardini , which , in fact , proposes that this ` made in ' regulation would be a kind of pilot project that would be evaluated after a four-year period and perhaps changed .
address problem	addressing problem	They should take concrete actions to prevent and suppress trafficking and to protect the human rights of trafficked persons , and should play a greater role in addressing this significant problem .
make remark	made remarks	Whether we would prefer the African Union to have held its summit somewhere else is another question ; whether , indeed , we would have made some remarks to them on many occasions that perhaps they should .
invest money	invested money	Both European industry and the taxpayer have already invested huge sums of money in these projects and , as European lawmakers , we must continue to push forward well balanced , cost-effective and structural reforms .
address problem	address problems	This directive creates real problems for small shops and I hope the Commission will address it .
make excuse	make excuse	We need to make use of modern and easy means of communication , but please do not make that an excuse for having dismal paper means for publicising and contacting the ombudsman .
suggest idea	suggest idea	I suggest and cling to the idea that one side of the note and coin should be similar to the existing issuing notes that are issued by banks .
address problem	address problem	I congratulate the rapporteur and the Committee on Transport and Tourism on addressing certain issues relating to aviation safety , but I am afraid they have failed to address the problem of cabin baggage , a problem that both airlines and cabin crew admit not only exists , but is now causing concern .
make remark	made remarks	During the 1994 European election campaign , the Portuguese Socialist Party held a press conference at its headquarters at which Mr Campos made some remarks about Mr Arlindo Cunha , the former Agricultural Minister .
make remark	make remarks	I was moved to make these remarks by Sir Leon 's use of the expression ` diversion of attention ' when talking of Congress 's attitude to Helms-Burton .
address problem	addressed problem	This is going to become a big problem and must be addressed .
address problem	address problem	Mostly these small businesses have the problem of a narrow investment base and that is what we are trying to address .
make remark	make remark	Since we are having difficulty in getting Mr Crowley and Mr Dell ` Alba , let me make a general remark about the work of the Rules of Procedure Committee .
address question	address question	My group wants to ensure that when the European Central Bank is established and when the 11 countries create the euro zone , without prejudice to that price stability , we begin , with some urgency , to address the wider issues within the European Union , not least the question of growth and unemployment .
reduce price	reduce price	It is very clear that there is a strong move to reduce farm prices to world price levels and the levels of Eastern Europe to save money .
reduce price	reducing prices	Lastly , can I ask the Commission again to investigate why food prices to consumers are not reducing in line with the huge fall in farm prices ?
address problem	address problem	Finally , the debate on a `` balanced and appropriate policy mix '' should not be used to deflect attention from the structural reforms that are so urgently needed to address the euro area ' s serious structural unemployment problem .
invest money	invested money	We are talking about EUR 500 million or a billion , an enormous amount of money , which needs to be invested .
read book	read books	At least it seems so to me since I think that books exist to be read , or certainly that was the conclusion I reached when I studied English literature at university .
pose challenge	poses challenges	This poses enormous challenges for competition policy , which I hope it will be able to meet because , for certain , many of those mergers are going to be designed to protect profit margins of the businesses from competition rather than merely to enhance productivity and make those businesses able to operate on a bigger scale .
address concern	addressed concerns	Thus , while complimenting Mr Viceconte on his report and finding a great deal in the resolution to commend , we shall be asking for a number of split votes to allow these concerns to be addressed .
make comment	make comments	I wish to make two comments with respect to the reports in front of us ; one on the Belder report , which contains a version of an amendment which I have tabled concerning the treatment of the Russian-speaking minorities in Estonia and Latvia .
address issue	address issue	It is not clear how the Commission can guarantee ethical security of services , but I fully share the view that we should take all measures to ensure respect for human rights ; existing actions , primarily the Internet action plan , address this issue .
get chance	get chance	Finally , Mr President , I would say that we continue to oppose the tobacco subsidies which are continuously being paid by the Commission and the sooner we get a chance to do something about it the better .
improve situation	improve situation	If the situation does not improve , do you know if there are any disciplinary procedures we could take against those Members who treat the staff in such a disrespectful manner ?
cancel project	cancelled projects	Nevertheless we are here now , and the Socialist Group supports the rapporteur ' s recommendation for adoption of this regulation with the minimum of amendments , already agreed in principle with the Council , in order to allow a fast-track , one-reading approval of the extension , and in reality to allow refugee support projects this year to go ahead rather than be cancelled .
determine outcome	determine outcome	The government must also allow the courts to determine the outcome of any challenge to election results in particular constituencies , and must respect their decisions .
address issue	addressed issues	Pillar II issues have to be addressed to the Member States but , given our related responsibilities under Pillar I , we take an interest .
organise conference	organising conference	Next May we are organising a conference with Unctad , in this Chamber , on the least developed countries and we are also organising a conference with WHO and UNAIDS on 28 September concerning malaria , HIV-AIDS and tuberculosis , the three major communicable diseases .
improve situation	improve situation	The reports by the Court of Auditors clearly show that there is room for radical improvement , and the Commission has already introduced a new Structural Fund regulation to improve the situation and will obviously be checking very carefully to see whether these reforms have gone far enough .
understand problem	understood problems	They kindly took me to Frankfurt , and I was told that they had changed their bonus policy , that they had understood the problems in project management , and so my report is , if not actually nice , then enhanced by this meeting with the ECB .
manage project	managed project	There are too many managers involved and , as a result , the project ends up not being fully managed .
finalise plan	finalised plan	This matter , which is of great interest to the Commission , has recently been dealt with in the Commission communication on the risk capital action plan which was finalised in October 2000 .
improve situation	improved situation	The human rights situation in those countries has improved dramatically and in the Baltic States with the build-up of the mixed economic system .
address concern	addressed concern	However , I want to say that there is great concern and anxiety about this particular Commission initiative and , indeed , about Mr Costa 's report , although I personally feel that many of those concerns were fully addressed in committee where , I know , there was widespread cross-party support for Mr Costa 's work .
get information	got information	The specifics of the involvement of the Guardia Civil in this particular issue is something that I have not got any detailed information on but I assume that the involvement is in the way that I have identified .
get idea	got ideas	What ideas and proposals have you got to continue the process of integration into subsequent EU presidencies ?
address issue	addressing issues	However , the report in no way affects the legislative programme , which is addressing such issues as traceability , labelling and liability .
cause reaction	cause reaction	Cosmetics containing any of 26 fragrances above a certain threshold are to be labelled with a warning which says ` could cause an allergic reaction ' .
get information	get information	Normally I do not take much notice of the lobbying information I get in this Parliament , in particular from industry , but I was amazed at ` Cosmetics - your choice , our responsibility ' from the European Cosmetics , Toiletry and Perfume Association .
address issue	address issue	Given that the Council is currently considering this proposal , and in view of the Commission 's strong desire to address this issue in a timely manner , I believe that the most appropriate course of action at this stage would be for the Commission not to accept formally the amendments put forward by Parliament , but to endeavour to take them on board as much as possible during the negotiations with the Council .
address issue	address issues	It is quite clear that we have to address exactly the same issues .
improve situation	improve situation	The draft resolution reflects the consensus between our institutions and Member States , with whom we have been discussing the subject over the last few months and who share our concern to improve the situation that was highlighted in such an impressive way by the petitioners .
make comment	make comments	I would like to make a few comments concerning the outcome of the recent Irish referendum , that was held on the Nice Treaty .
address concern	address concerns	Time for deliberation will be needed if we are to address the complex issues and concerns which arose during the referendum debate .
cause fear	causing fear	The complexity and the lack of clarity of the Nice Treaty allowed a huge range of issues to be tagged onto the debate during the Irish referendum , issues relevant and irrelevant to Nice , causing concern and fear among the people , which resulted in a huge abstention with a paltry 34 % turnout , of whom 54 % voted `` no '' .
pay tax	paying taxes	Given that UK hauliers are already paying the highest fuel taxes in the world , these proposals would be the last straw for many in the UK road haulage industry .
address concern	address concerns	I believe that we have now reached a sensible conclusion and would hope that the amendments adopted in committee , which address those concerns , can be supported in the plenary vote .
address need	addressed needs	The needs of women and children are specifically addressed in mother-and-child health programmes .
improve situation	improve situation	It is a balanced report with workable suggestions on how to improve the intermittently precarious oil supply situation .
understand problem	understanding problem	The Commission 's communication and Mr Linkohr 's report are valuable contributions to understanding the problem and defining possible solutions .
improve system	improve system	At the same time the Commission is preparing a programme to improve the justice system .
improve situation	improving situation	In this respect the Commission welcomes the recent sentence in the Bishop Gerardi murder trial as encouraging proof of the commitment of the Guatemalan judiciary to improving the human rights situation .
address issue	address issues	It will be essential to address these issues in order to ensure sustainable peace in the country .
address issue	address issues	I have already informed this Assembly that the Commission will address those issues before the end of the year in a separate legal framework .
improve situation	improve situation	From the end of 2002 it will help improve the situation of visiting motorists , namely those unfortunate European citizens who are victims of a road accident while they are outside their home country .
address issue	addressing issue	However , the policy of a one-year stop-gap extension of nut improvement plans does not seem , to the Commission , to be an appropriate way of addressing this particular issue .
stimulate growth	stimulates growth	Secondly , the current policy framework artificially subsidises aviation and therefore stimulates this growth still further .
pose problem	posed problem	But Mr Verhofstadt has to lead the Council towards a resolution of the problem , posed by the failure of Nice and by the Irish referendum .
address point	addressed point	A final word on police and security equipment , a point which is not directly addressed to the Commission in the report .
organise event	organising events	That is why the G8 is increasingly organising side events and meetings with third countries and civil society alongside the summit .
address change	address change	Therefore , when we talk about the Kyoto Protocol at Genoa , it is very important that we are able to do so in a way which leads to action on climate change and not the collapse of what has been an extremely important effort by the international community to address a major change .
make connection	make connection	These are the same people and we need to make that connection : the people who come here are actually the same sort of people who are living in camps .
pay tax	pay taxes	Mr President , on the subject of the use of the European Parliament 's own resources , I would like to say , both on behalf of the Pensioners ' Party which I represent and on behalf of the associated French , Dutch , Spanish , Swedish , Slovenian , Bulgarian and Lithuanian Pensioners ' Parties , who have authorised me to speak on their behalf , that I openly support the proposal that the European Union should levy its own taxes and that this should not mean an increase in taxation for the citizens but , on the contrary , a reduction in the taxes that the citizens pay in their own States .
address issue	address issues	I also raised during my last visit to China , the reports of torture and ill-treatment of the followers of the Falun Gong movement and there are other issues which we must address .
address situation	addressing situation	In the short term this means , in particular , ensuring free and fair elections and addressing the situation of missing opposition figures and political prisoners .
pay tax	paid tax	Any proposal that corporate tax be paid by SEs and could go into EU coffers is totally unacceptable .
get information	get information	All the honourable Members , including Mr Pomés Ruiz and Mr Dell ` Alba and others who have enquiries of that kind can , simply by referring to that table , get the most up-to-date information available to any one in the European Union , including the Commission itself .
address issue	addressed issues	We also have to bear in mind that there are other issues that have to be addressed , such as the manner in which companies are taxed and the way that is approached .
stimulate economy	stimulate economy	The priorities for the government are continuity and the preparations for European Union and NATO membership , with acceleration of political and economic reform , concentrating on tax reforms to stimulate the economy , squeezing out corruption , reform of the judiciary , modernisation of the customs service and border security , and legal changes to ensure that Bulgaria has a functioning market economy through amendment of banking laws and improvement in the bankruptcy laws .
address issue	address issue	We have to address that issue .
address issue	addressing issue	I believe that European Union airlines should not be afraid of addressing the issue of deep-vein thrombosis .
address issue	addressed issues	European Union airlines , consumer groups and air crew workers must all work together to guarantee that all public health issues concerning air travel are fully addressed .
recall memory	recall memory	Let me now recall the memory of the journalist , Fernando Pereira .
address issue	addressed issues	I am pleased to note that the amendments debated today in general are very supportive of the basic approach of the Commission to issues related to blood safety and the way these should be addressed at Community level .
make comment	make comments	With so many amendments . it is not feasible for me to make specific comments on each of them .
reject idea	rejects idea	We need to ask ourselves why the UK government has failed and why in particular it consistently rejects the idea of ring vaccination in the face of mounting calls from those in rural communities who want to adopt it .
address issue	address issue	This report is a very practical one , putting forward measures which actually suggest very concrete things which can be done to address this very difficult issue .
address issue	address issues	They will not address the actual issues in the workplace , but it is something which governments can do relatively easily .
address cause	address causes	Mr Schmitt said , and I wholeheartedly agree with him , that Member States have to do more to address the root causes that are forcing people to migrate across Europe and across the world , but it is not easy to address the root causes in the countries from where many asylum seekers come .
address situation	address situation	The highest number of asylum seekers in Europe come from Afghanistan , Iran and Sri Lanka and at the moment , as we know only too well , it will not be easy to address quickly the situation in Afghanistan : we watch that situation with some terror .
address issue	address issues	We can not afford not to address these issues .
address cause	address causes	In addition and crucially , Europe must collectively do far more to address the root causes that lead to people seeking asylum and becoming refugees .
address situation	address situation	To those - perhaps the British Conservatives - who will vote against this report in its entirety , if they were here I would ask them to explain to Parliament how we can address the current asylum situation in Europe without Europe-wide policies .
improve system	improved system	I like to think , at least in part , that this is a compliment to our free and diverse society , but we can not just have an open door , and maybe the French authorities need to reflect on whether their system could be improved .
address concern	addressing concerns	If all parties involved were to adopt a more positive attitude , the agreement would become a more effective tool for addressing the concerns of all participants in the future .
pose challenge	pose challenge	The very logistics of what is needed down the line , even on the basis of the best case scenario , pose a formidable challenge .
understand situation	understand situation	We are participating in the debate on how to organise things and to understand the situation as much as possible .
address issue	address issue	European governments have a responsibility to show leadership in the area of racism and xenophobia and politicians and civic leaders are failing to address the issue of racism in their own communities .
affect decision	affected decision	It certainly affected my decision this summer when I was buying a fridge and a freezer for my home .
address situation	addresses situation	National governments must retain the prerogative to formulate a budget which best addresses the particular and specific economic situation of their country at that time .
cause violence	causing violence	When ex-terrorists became the leaders of South Africa , Israel , the Palestinian Authority and a very large number of former colonies , they suddenly became reasonable and respectable people in the eyes of many , and their former opponents were blamed - rightly so - for causing the violence .
improve system	improve systems	Emphasis should be put on : the creation of alternative forms of employment in the drought-affected areas to improve the irrigation systems in use in these affected areas and , in general , improve water conservation ; the introduction of more drought-resistant and less water-hungry crops through further research into new crops , pilot schemes , model farms and whatever is necessary to farm in a sustainable manner in this environment .
make comment	made comment	Mr President , the previous speaker made a comment .
address point	addressed point	The question whether participation in decision-taking should aim at the public at large or the `` public concerned '' is a key point , and it has been addressed by a number of Members who have just spoken .
make comment	made comments	But it appears from comments being made by one of the Vice-Presidents of this Parliament in the newspapers and not to this House , that the whole issue is now not regarded as important by the Bureau .
address issue	addresses issues	The report addresses many of the tricky issues that have faced decision-makers since the demonstrations at Seattle , Stockholm and Genoa : it could lead to greater transparency and accountability since citizens could act as both a check on decision-makers ' complete autonomy and they could be more informed of the decisions which are being taken in their name .
understand question	understood question	The question of sound financial management of budgetary support is , I think , better understood , as a result of the work carried out by the Court of Auditors and the Commission ' s internal audit service , in cooperation with the various Commission services responsible .
improve situation	improve situation	We , therefore , have reason to hope that the situation will gradually improve .
address concern	address concerns	Simply calling it a development round without genuinely addressing the demands of developing countries is a sleight of hand that fails to address their real concerns .
improve situation	improved situation	In last year 's annual assessment report the Commission concluded that , although a wide-ranging debate on political reforms had begun and Turkey had signed several international human rights instruments over the past year , the situation on the ground had hardly improved .
address issue	address issue	Unfortunately , I must sadly inform you that a lack of political will on the part of the Chinese leadership to address the issue of Tibet in a serious manner has failed to produce any progress .
understand point	understand points	I understand exactly the points that Mrs Fontaine made but , I ask you , on behalf of all Members of this House , to keep us better informed of the process .
get information	get information	At this time , when we perhaps are being a little over-assertive with some of the legislation we are bringing forward , I do not want anyone to have to confirm why they have opted to receive , for instance , Ammunition Weekly or why they have chosen to get some information from Amnesty International .
understand point	understood point	Mr Harbour , your point is well made and well understood by the Bureau .
make comment	made comments	I hope that fellow MEPs will support the comments I have made , because we must remember that thousands of livelihoods are at stake .
address need	address needs	With those decisions on Hurricane Michelle and the Algerian floods , the Commission underlines its determination to address the needs of victims of humanitarian disasters whenever they occur .
improve system	improve systems	We acknowledge that recognition of judicial judgements and judicial standards requires trust in each other 's systems , but not blind trust , and for that reason I have put forward an amendment calling for urgent measures to improve judicial systems in our Member States , to encourage benchmarking , to encourage exchange of best practice .
get opportunity	getting opportunity	I have represented constituents in other Member States in the European Union where they have been held without trial for two years , without getting any opportunity for habeas corpus or any opportunity to present their case .
organise conference	organise conference	As far as we are concerned , the next event on the horizon will be the donors conference , which we will try to organise with the World Bank .
address issue	addressing issue	They are clearly addressing exactly the same issue using deliberately different language and I would have thought now that we have adopted Amendment No 10 , which I welcome , Amendment No 23 is no longer necessary .
address issue	addressing issues	The Spectrum Decision in its present form will set up a general and permanent framework for addressing radio spectrum policy and legal issues in the context of all relevant Community policy areas .
get message	got message	We clearly have got the message from the European Parliament .
address point	address points	I would like to address the main points raised by the Committee on Employment and Social Affairs in the report prepared by Mr Bushill-Matthews and have grouped my comments under three headings : provision of information to Parliament and its timing , geographical coverage and an updating of the instruments .
understand reason	understand reasons	However , we would contest the fact that neither of the two appendices is attached to the proposal , although we understand the reasons why .
get problem	got problem	So Slovenia has got a real problem .
end cycle	end cycle	The Council on Monday strongly encouraged the parties to take the first steps to end this devastating and self-fuelling cycle of violence that we have seen over the last 14 months .
address situation	address situation	Finally , not pre-judging the outcome of the consultations and handling them in the spirit of the Cotonou agreement is not only necessary to address the situation with Zimbabwe , it is also necessary to maintain mutual trust and confidence between the EU and ACP countries .
address issue	address issue	At the review conference , which is being held in Geneva from 11 to 21 December 2001 , the EU will present a common position on the issue of the unexploded remnants of war , requesting concrete steps to address this issue under the CCW framework .
address issue	addresses issue	If the EU Council Summit at Laeken this weekend only addresses the issue of the strengthening of borders as a response to this modern day slave trade , it will have failed not only to respect these values but also to fulfil its leadership role .
address issue	addressed issues	The most difficult issues for the country ' s future are still to be addressed .
address issue	addressed issues	I hope that this is one of the core issues which will be addressed by the new Convention which has now been set up by the EU leaders .
get information	get information	The Commission and the Council have all the information we can not get .
address change	address change	We also need further action to address demographic change through an integrated approach to safeguard sustainable and universal pensions .
address issue	addressed issue	But above all , we have addressed the issue of the non-binding short-term targets .
make comment	make comments	I shall now make some brief comments on the report as such .
improve system	improved system	I would therefore like you to refer to the Bureau the question of whether the electronic voting system can be improved in order to really function as a secret ballot and protect Members from those pressures from which they ought to be protected .
address concern	addresses concerns	I should like to say that this report addresses many current concerns in the fisheries sector and certainly rebuilding the stocks of cod and hake is going to be a tremendous challenge .
address concern	address concerns	A dedicated working structure has been established to assist in developing concrete proposals that should address EU concerns , in particular as regards the application of the capital framework to a wide range of institutions , including smaller banks and investment firms .
pay tax	pay taxes	We can not invite people to the European Union only to say `` pay your taxes here , but do not expect any social services or social benefits in return '' .
improve situation	improving situation	This directive , part of a package of measures aimed at making our use of energy more intelligent , should disseminate the existing good practice of some Member States right across the EU , and will also be very important in improving the situation in applicant countries where energy-efficient buildings could do much to help their economies as well as protecting the environment .
make comment	made comments	I would like to know whether Mrs Zrihen will support them in light of the comments just made by the Socialist Group .
understand issue	understand issues	That is not to say that we do not understand the issues raised about the applicant countries and about small and medium-sized tobacco producers .
end cycle	ending cycle	Israeli and Palestinian authorities are going to have to move to renew some level of security cooperation with the aim of ending this awful present cycle of violence .
address topic	address topic	The Spanish Presidency has decided to launch a policy debate with Member States to agree future priorities for the promotion of the e-Economy in Europe and to address this topic at the Industry Council meeting in early June .
make comment	make comment	I should just like to make one comment : it is the employers , the bosses , who are forcing these workers to move into other national territories .
address issue	address issue	But given the fact that examination of this proposal is ongoing in the Council , and given the Commission ' s strong desire to address this issue in a timely manner , I believe that the most appropriate course of action at this time is for the Commission not to formally accept the amendments put forward by Parliament , but to endeavour to take them on board , as much as possible , during the negotiations in the Council .
