pair	inflected_pair	Source Language
find way	found ways	On 13 and 14 March , there will be a conference in Paris in which the future of development aid for Ethiopia will be discussed and new ways will be found to help the poor people of Ethiopia directly , without channelling those funds directly to the government .
find way	find ways	We need to find better ways , but this needs to be properly handled .
tackle problem	tackle problem	It is gratifying that we in the European Union are prepared to take the lead to tackle that worldwide problem and deal with such a wasteful side-effect of the fishing industry .
shake foundation	shake foundation	Therefore , for the sake of Europe , let us not shake this foundation , ensuring that the still fragile Balkans building does not collapse at our feet , in our own front yard !
tackle problem	tackle problems	Open markets will strengthen Europe and allow it to tackle its problems .
tackle issue	tackle issues	Work has begun on preparing a ministerial meeting to tackle all issues from illegal migration to trafficking in human beings and people smuggling .
find way	find way	Kofi Annan today said that his understanding was that the United States , even though they might not be able to vote for the Council as it was currently proposed , would be able to work with the Council , and I am sure that the US , which has done so much for human rights , will find a way to work with the other Member States to make the Council what it ought to be .
tackle challenge	tackle challenges	In this age , in Ireland and across the European Union , we have major health challenges to tackle : cardiovascular disease , neuropsychiatric disorders , cancer , digestive diseases , respiratory diseases , sense organ disorders , obesity and diabetes , to mention a few .
tackle inequality	tackle inequalities	We can not hope to tackle the inequalities in health without the active input of those whose life experience makes them experts in this field .
find way	find way	However , at the end of the day , as politicians , we have to find a way of achieving a democratic political solution to the problem .
tackle challenge	tackle challenge	Although there are considerable differences in the local circumstances of Member States , the challenges and targets are similar -- to tackle the increasing challenge of Europe 's ageing society , bearing in mind the Lisbon targets of making Europe the most competitive and dynamic knowledge-based economy in the world , with greater social cohesion and sustainable economic growth capacity , and more and better jobs .
boost business	boosted businesses	Mr President , when we debate competition policy , there is something that there is good reason for emphasising , namely the fact that European prosperity , European businesses and European jobs have been boosted by competition .
tackle challenge	tackled challenge	It must be admitted that the challenge of Europe 's ageing society can only be tackled with the increased participation of those special groups in the labour market , as Commissioner Špidla said .
find way	find ways	We will find ways to do that through NGOs but we will also have to review our position and find some alternative mechanisms .
tackle problem	tackling problems	However , with the flow of drugs apparently on the increase and the level of addiction rising particularly among some of Europe 's most deprived communities I would like to see the Centre raise its profile and make a more significant contribution to tackling these problems .
tackle issue	tackles issues	It needs to show that it is ready to move on to an ambitious reform programme that tackles those very issues that I referred to of low growth , high unemployment and threats to our environment .
tackle challenge	tackle challenges	When reading the document , there is a strong sense of complacency , Madam Commissioner , a real lack of urgency about how to tackle the global economic political challenges facing the European Union .
tackle challenge	tackling challenges	I also want to see greater and more effective intergovernmental cooperation in tackling environmental challenges and fighting the scourge of terrorism .
tackle problem	tackled problem	Given that discrimination largely stems from ignorance as regards other people , the report highlights the fact that the problem should therefore be tackled at source , by means of targeted actions designed to foster tolerance and diversity from early childhood ; programmes such as Socrates , Leonardo and Jeunesse have a crucial role to play in this regard .
tackle problem	tackle problem	Therefore , dealing with this stigma and dealing with social inclusion is not just a human rights issue and not just an obligation , but can also have practical effects in our efforts to give priority and emphasis to actions and activities designed to tackle this problem .
find way	finding way	However , we need to play our part in finding ways to create fresh enthusiasm and acceptance for the roadmap as the way forward and , in this regard , the difficult task of engaging with Syria will be necessary .
find way	find way	The result is a fisheries policy of disparity , not of commonality ; and until the Commission and this House find a way to address that issue , even its modest proposals here will accentuate the difference between the haves and the have-nots under the common fisheries policy .
find way	find ways	So , to continue to fight for democracy must be one of our basic tasks , and to find modern ways of engaging with citizens has to be a very important part of the declaration , to show that this is possible .
tackle problem	tackle problem	In deciding how to tackle this problem , it is essential to have a clear picture of the supply of and demand for palm oil .
find way	find way	As I have said , we had to find ways not only to express tangibly the political will of all the institutions involved and the citizens , but also to do so in a legally sound way that would ensure that this will could face and withstand any challenges arising in the future .
close debate	closed debate	The debate is closed , and the vote will take place shortly .
tackle challenge	tackling challenge	The Commission has presented its view on the cause of the recent rise in food prices in the recent communication ` Tackling the challenge of rising food prices : directions for EU action ' .
tackle problem	tackle problems	For these reasons , the Commission has proposed an emergency package of measures to tackle the immediate social and economic hardship triggered by the dramatic rise in the price of oil , while also tackling the underlying structural problems of the European fleet .
tackle problem	tackle problem	In an effort to tackle this problem of divergent views , the idea of a joint fact-finding mission by the presidency and the Commission , led by the Czech Minister of Industry and Trade , Martin Říman , and by Matthias Ruete , the Director-General of DG TRAN , emerged , and it obtained the mandate to do this from an extraordinary COREPER I session , which we called on 5 January 2009 , the first working day after the holidays .
close case	closed cases	On the amount of time that it takes to resolve cases , touched on by Mrs Göncz , let me just say that we have now been able to reduce the time very significantly , and on average more than 50 % - about 55 % - of all cases are now closed in less than a year or in about 12 months .
tackle issue	tackle issues	On CCCTB , this report says ; ` Recalls that the introduction of a CCCTB would help to tackle - within the EU - double taxation and transfer price issues within consolidated groups ' I welcome the Irish Government 's proposal in this year 's Irish Finance Bill to regulate transfer pricing by transnational corporations .
tackle matter	tackle matter	Therefore , I welcome this timely debate and the Commission 's efforts to tackle this matter , as all of us have let this area go for too long .
tackle issue	tackle issue	Given the high standards in North Sea oil drilling in Scotland , I do not think a uniform moratorium on new drilling is the best way to tackle this issue , but instead that detailed safety checks should be paramount in any decision to award new licences .
tackle issue	tackle issues	They tackle the key issues of giving the European Union real clout in economic policy through adequate coordinated fiscal surveillance and addressing macro-economic imbalances , so , as we have very often said , now creating a real economic Union in Europe .
tackle crisis	tackle crisis	Key priorities , such as transparency and consumer protection , will be pursued , while a bank crisis framework will aim to prevent and tackle future crises .
find way	find ways	Uganda is a country in which the majority of people survive on a dollar a day : surely the country 's legislators can find better ways to serve the interests of Ugandan society than to make gays subject to criminal prosecution .
tackle problem	tackle problems	That is why I think politicians who tackle these problems in a responsible and politically subtle manner are ` cool ' politicians , as are those of us who will vote for Mr Gahler 's report today .
absorb lesson	absorb lesson	I hope that this is a lesson he will absorb in the future work that he may do in this Parliament .
tackle point	tackle point	With regard to additional spectrum for broadband and the second digital dividend , I think everybody is aware that sooner or later - and most of the Members of Parliament will probably think sooner - we will have to tackle that point , too .
tackle problem	tackle problem	We have to pay serious attention to this problem , which is a problem accentuated by a lack of political will , by far too much nationalism , and dare I suggest that we should look at the policies of the Norwegians and Icelanders and how they tackle their problems .
mount campaign	mount campaign	The bombing at Enniskillen , the rioting across large parts of Northern Ireland , and a clear attempt by the IRA to mount yet another bombing campaign in the mainland of the United Kingdom : all of these events must stand condemned .
tackle problem	tackle problem	I think if we are to tackle the problem , the first thing we should do is determine the extent of the problem , so I do believe much work remains to be done .
tackle problem	tackle problem	The trade in these drugs is multinational in nature , as is the laundering of the vast sums of money involved in this trade yet the response of the multinational organization best placed to tackle this problem , the European Union , is seen to be virtually non-existent .
tackle problem	tackle problem	The rapporteur clearly knows this and knows that you do not punish the victims of society 's failures just because benefit bills are going up ; you tackle the real problem , which is to get people back to work .
find way	find way	Whether he has succeeded or not depends on one 's particular point of view but I want to pay tribute to him for the long , hard and diligent work he engaged in to find a compromise and a way forward .
find way	find way	We have to act here with some sort of morality and say : OK , maybe the underspend will pay for it but we actually have to find a way .
tackle problem	tackle problems	This House is desperately disappointed that nothing has happened since the Essen Summit meeting to tackle the problems of unemployment and while Mr Santer said we should do less better , the one thing we can not renege upon are measures that will bring down the levels of unemployment .
tackle issue	tackle issues	Mr President , this report makes an honest attempt to tackle the issues , but in very traditional areas , and it raises a few questions of principle that I would like to deal with .
tackle problem	tackle problems	Finally , I stress that the Commission is certainly not insensitive to problems that might materialize from the abolition of duty-free on intra-EU travel , but it will insist that the appropriate instruments be used to tackle any such problems without re-opening an issue which , as I have stressed several times , simply implies having ordinary citizens bear the burden .
close plan	close plan	The principal purpose of the Shelter Improvement Plan must be to close and decommission the plan completely , as quickly as possible .
break cycle	break cycle	Furthermore , although Agenda 2000 purports to adopt a more market-led approach , the proposed payments to compensate farmers for a reduction in price are not time-limited and will do nothing to break the cycle of dependence of European farmers on European subsidies ; nor will they address the legitimate concerns of the taxpayer .
tackle problem	tackle problem	I would like to ask the Minister-in-Office whether ultimately the way to tackle this problem is to look at the different excise duty rates in the different Member States and perhaps that should be the long-term goal of the Council of Ministers .
tackle problem	tackled problems	All these problems have to be tackled and for this reason I welcome the Commission 's proposal that there should be no sudden end to funding from Brussels .
tackle problem	tackle problem	I am very pleased that you are going to tackle it under the new programme on tourism but would the Commission not consider a study of what the extent of this problem might be and how it could be effectively tackled ?
tackle issue	tackle issue	British Labour MEPs will be supporting calls for a multilateral policy development with the other OECD financial centres to tackle this important issue of tax evasion , and for the exclusion of Eurobonds from this directive .
tackle matter	tackled matters	These matters must be tackled and resolved , and the reports suggest some very important and useful ways in which that can be done .
find way	find way	I want to express my deep sense of disappointment that yesterday , at an early stage , when my group presented to other group presidents the possibility of trying to find a reasonable way forward , whereby the Council would meet tonight and then , tomorrow , we could decide on the issue in a more definitive way , some colleagues used procedures in this House to block that possibility .
find way	find ways	We have found all sorts of ways in the budgetary procedure to find a working arrangement for this institution together with the Commission to maintain confidentiality and that could be done in relation to this dialogue .
