Phrase	Anno	Maj_anno	Sentence
Problem sehen	Figurative,Figurative,Literal	Figurative	Es bestehen echte Gefahren , wenn wir dieses Problem einfach nur vom wirtschaftlichen Standpunkt aus sehen und die Bürgerinnen und Bürger lediglich nach ihrem Beitrag , den sie für die Wirtschaft oder als Arbeitskraft leisten können , beurteilen und bewerten .
auf Problem achten	Literal,Literal,Literal	Literal	Ich hoffe , dass bei seinem Nachfolger auf diese Probleme besser geachtet wird , denn dieses Programm ist wichtig , vor allem für die Beitrittskandidaten .
Linderung Problem	Literal,Literal,Figurative	Literal	Letztes Jahr stimmte das Parlament für die Bereitstellung von Ressourcen für die Linderung der noch immer vorhandenen gesundheitlichen Probleme in der Republik Belarus , die ein direktes Resultat des Reaktorunfalls sind , der sich im April 1986 in Tschernobyl ereignete .
Problem einer Lösung zuführen	Figurative,Literal,Figurative	Figurative	Es besteht dringender Handlungsbedarf , um die verschiedenen Probleme im gesamten Nahen Osten einer Lösung zuzuführen und die Gefahren für Frieden und Wohlstand zu bannen .
Umgang mit Problem	Literal,Literal,Literal	Literal	Insbesondere gratuliere ich der Kommission zu ihrem Umgang mit dem Abfallproblem .
auf Problem abziehlen	Figurative,Literal,Literal	Literal	Die türkischen Behörden sind zur Verabschiedung eines Gesetzes verpflichtet , das auf diese Probleme abzielt .
Lösung Lage	Figurative,Literal,Literal	Literal	Man muss bei der Suche nach einer Lösung bei der derzeitigen Lage der Jugendlichen ansetzen .
Problematik ansprechen	Literal,Literal,Figurative	Literal	Herr Präsident , ich möchte speziell die Problematik im Grenzbereich ansprechen .
Problem Berücksichtigung finden	Figurative,Literal,Literal	Literal	Auf der Überprüfungskonferenz , die vom 11.-21 . Dezember 2001 in Genf stattfindet , wird die EU einen Gemeinsamen Standpunkt zur Frage nicht explodierter Kriegsrückstände vorlegen und konkrete Schritte fordern , damit dieses Problem im Rahmen des CCW-Übereinkommens Berücksichtigung findet .
Problem klären	Figurative,Literal,Literal	Literal	Wir versuchen , die von uns in diesem Jahr aufgedeckten Probleme zu klären und den Griechen zu helfen .
sich Thema widmen	Figurative,Literal,Literal	Literal	Herr McCartin hat sich in seinem Bericht einer Reihe heikler Themen gewidmet , und ich gratuliere ihm hierzu .
Problem überwinden	Figurative,Literal,Literal	Literal	Es geht hier nicht nur um rechtliche Probleme , Herr Ratspräsident , sondern um eine tiefe politische Krise , die wir überwinden müssen .
Problem berücksichtigen	Figurative,Literal,Literal	Literal	Wir möchten jedoch darauf hinweisen , dass bei dem Kompromiss zwischen den Beteiligten die Probleme nicht ausreichend berücksichtigt worden sind , mit denen die Europäische Union derzeit konfrontiert ist .
Problem umfassen	Figurative,Literal,Figurative	Figurative	Die von Mauretanien abgegebenen Verpflichtungen umfassen nach Meinung der Kommission alle wesentlichen Probleme des Landes .
Verminderung von Problem	Literal,Literal,Figurative	Literal	Abschließend möchte ich betonen , dass wir bis 2007 bei der Einführung des Informationssystems erhebliche Fortschritte erzielt haben werden , und wir hoffen , dass uns dann erste Ergebnisse bezüglich der Wirksamkeit von Maßnahmen zur kostenwirksamen Verminderung von Gesundheitsproblemen vorliegen werden .
Lösungmöglichkeit für Frage	Literal,Literal,Literal	Literal	Selbstverständlich ist es erstrebenswert , dass die Mitgliedstaaten einen Austausch von Informationen und beispielhaften Praktiken zu Lösungsmöglichkeiten für diese Fragen führen sollten , und Teile dieses Berichts enthalten einige nützliche Anregungen .
Problem Antwort erfordern	Figurative,Literal,Literal	Literal	Wenn es Probleme gibt , die eine spezifische Antwort erfordern , und wir beispielsweise über die Situation der armen , sozial schwachen und benachteiligten Gruppen der Gesellschaft besorgt sind , sollten wir diese mit alternativen sozialen Maßnahmen unterstützen und nicht auf die kurzfristige Lösung von Steuersenkungen verfallen .
auf Problem ausrichten	Figurative,Figurative,Figurative	Figurative	Herr Präsident ! Die Maßnahmen , die im zur Diskussion stehenden Bericht vorgeschlagen werden , sind anscheinend auf die Arbeitslosigkeit von Frauen und Gleichstellungsprobleme ausgerichtet , laufen jedoch im Grunde darauf hinaus , jegliche positiven Regelungen und Rechte zu beschränken und abzuschaffen , die von Frauen durch den harten Kampf der Arbeiter - , Volks - und Frauenbewegung erreicht worden sind .
Problem gerecht werden	Literal,Figurative,Literal	Literal	Wir haben uns dennoch der Stimme enthalten , weil wir denken , dass der Bericht diesem ernsten Problem nicht gerecht wird .
Behebung von Problem	Figurative,Literal,Literal	Literal	Ich befürworte die Einführung von Unterausschüssen für Menschenrechte bei Abkommen der EU mit Drittländern , deren Aufgabe darin besteht , die Einhaltung der Klausel zu prüfen , ihre Anwendung und Umsetzung zu überwachen und Maßnahmen zur Behebung von Problemen im Bereich Demokratie und Menschenrechte vorzuschlagen .
Auf Problem Antwort geben	Literal,Literal,Literal	Literal	Herr Präsident , das Vertrauen der Bürger in das Europäische Parlament ist wesentlich davon abhängig , wie es der Europäischen Union gelingt , Antworten auf die tatsächlichen Alltagsprobleme der Menschen zu geben .
mit Problem fertig sein	Literal,Literal,Figurative	Literal	Wenn wir in den Entwicklungsländern so viel wie möglich deregulieren , haben wir eine Chance , mit dem Problem fertig zu werden .
Problem erörtern	Literal,Literal,Figurative	Literal	Ich unterstütze den Ratsvorsitz voll und ganz in seiner Forderung nach einem `` leidenschaftslosen Dialog zu dieser Angelegenheit '' , in dem die Probleme `` im Geiste von Verständigung und gegenseitigem Respekt '' erörtert werden .
Problem abstellen	Figurative,Figurative,Figurative	Figurative	Meine Vorschläge zur Neugestaltung des Kommissionsvorschlags sind dazu gedacht , die erheblichen Probleme abzustellen , welche die Durchführung einer gemeinsamen Wasserpolitik weiterhin behindern .
Schwachstelle angehen	Figurative,Figurative,Literal	Figurative	Was der Mehrheit des Parlaments -- nicht allen -- seinerzeit als ein äußerst logisches System erschien , weist echte Schwachstellen auf , die angegangen werden müssen .
in Angelegenheit Fortschritte machen	Figurative,Literal,Literal	Literal	Ich möchte der Frau Kommissarin ganz herzlich für ihre Bemühungen danken , damit wir in dieser wichtigen Angelegenheit grundlegende Fortschritte machen können .
Einen wunden Punkt berühren	Figurative,Figurative,Figurative	Figurative	Frau Präsidentin , Herr Liikanen ! Das Aktionsprogramm DAPHNE zur Verhütung von Gewalt gegen Kinder , Jugendliche und Frauen berührt einen wunden Punkt und verdient deshalb jegliche Unterstützung und Betätigungsmöglichkeiten .
auf Frage zu sprechen kommen	Literal,Literal,Literal	Literal	Zum Schluss würde ich gerne auf einige der Fragen zu sprechen kommen , die von mehreren Abgeordneten aufgeworfen wurden , wie z. B. von Frau Corbey , die fragte , wer für die Impfung gegen MKS zuständig sei .,Darüber hinaus werde ich auf einige konkrete Fragen zu sprechen kommen .
Frage zusammenfassen	Literal,Literal,Figurative	Literal	Wir müssen alle Fragen in bezug auf Lebensmittel , Gesundheit , Wirtschaft und politische Stabilität möglichst in einem Programm zusammenfassen .
sich mit Frage beschäftigen	Literal,Literal,Literal	Literal	Womit ich mich beschäftigen möchte , bevor ich zum Inhalt komme , das ist die Frage hinter dieser Frage . Damit müssen wir uns hier auseinandersetzen .
auf Anfrage eingehen	Figurative,Literal,Figurative	Figurative	Ich werde nicht versuchen , auf jede Anfrage gesondert einzugehen ; das wäre ein aussichtsloses Unterfangen angesichts meiner begrenzten Redezeit .
zur Frage kommen	Figurative,Literal,Figurative	Figurative	Ich komme abschließend zur Frage des Standortes der Behörde .
Anfrage zur Sprachen kommen	Figurative,Literal,Figurative	Figurative	Die Anfrage bezüglich des Einsatzes von abgereichertem Uranoxid im Kosovo oder in Serbien ist nicht zur Sprache gekommen .
Frage berücksichtigen	Literal,Literal,Literal	Literal	Diese Frage wurde bereits im Rahmen der Forschung berücksichtigt .
Frage beantworten	Literal,Literal,Literal	Literal	Was die im Rahmen der Europolis - und Eurint-Systeme verwendeten Technologien betrifft , so sieht sich die Kommission außerstande , die Frage des Herrn Abgeordneten zu beantworten .,Was die im Rahmen der Europolis - und Eurint-Systeme verwendeten Technologien betrifft , so sieht sich die Kommission außerstande , die Frage des Herrn Abgeordneten zu beantworten .
Anfrage beantworten	Literal,Literal,Literal	Literal	Ich möchte die Ratspräsidentin darauf aufmerksam machen , dass sie den zweiten Teil meiner Anfrage nicht beantwortet hat , in dem es darum ging , dass die British Nuclear Fuels noch nicht den Beweis für die wirtschaftlichen Vorteile der MOX-Brennstoffanlage vorgelegt hat , den sie vor Inbetriebnahme der Anlage gemäß EU-Recht erbringen muss .
sich Frage annehmen	Figurative,Literal,Literal	Literal	Es wäre hilfreich , wenn die Kommission sich dieser Frage annehmen könnte , und ich gehe davon aus , daß sie Italien bereits eine mit Gründen versehene Stellungnahme hinsichtlich der Achten Richtlinie zum Gesellschaftsrecht über die fachlichen Qualifikationen von Abschlußprüfern zugeschickt hat .
Frage betreffen	Literal,Literal,Literal	Literal	Weitere Änderungsanträge betreffen die Frage der Fähigkeit der Mitgliedstaaten , über das in der EU-Verordnung festgelegte Mindestmaß hinausgehende Maßnahmen in Bezug auf ihre Fangflotten zu treffen .
auf Problem verwenden	Literal,Figurative,Figurative	Figurative	Nach meiner Überzeugung müssen die Mittel für Wissenschaft und Forschung vornehmlich auf das Problem der ausgezeichneten Qualitätsarbeit verwendet werden .
zu Frage gehören	Figurative,Figurative,Literal	Figurative	Obwohl Fragen der Rückübernahme ohne Zweifel wichtig sind , sollten sie doch vornehmlich in die Rückübernahmeabkommen gehören , über die die Gemeinschaft gerade mit Drittstaaten verhandelt .
Frage in Betracht ziehen	Figurative,Literal,Figurative	Figurative	Ich möchte das Parlament bitten , seinen diesbezüglichen Standpunkt noch einmal zu überdenken , denn ich halte es für ausgesprochen wichtig , dass die Frage des Ausschussverfahrens in diesem Zusammenhang ernsthaft in Betracht gezogen wird .
sich auf Frage beziehen	Figurative,Literal,Literal	Literal	Änderungsantrag 16 bezieht sich auf dieses Problem , auf das ich nicht nur von den Flugbegleitern selbst , sondern auch von einigen Fluggesellschaften aufmerksam gemacht wurde .
Jemandem geht es um Frage	Literal,Literal,Figurative	Literal	Mir geht es jedoch im wesentlichen um die Frage der Lachseinfuhren aus Norwegen .
Frage erwähnen	Literal,Literal,Literal	Literal	Herr Solana erwähnte auch die Frage der NATO-Mitglieder , die nicht zur EU gehören .
Frage Erörterung bedürfen	Figurative,Literal,Literal	Literal	Das Innovationsniveau und Investitionen in Innovationen in der EU liegen weit hinter jenen ihrer Handelspartner und Wettbewerber zurück , weswegen die Frage staatlicher Beihilfen einer sorgfältigen Erörterung bedarf .
zu klärenden Frage	Literal,Literal,Literal	Literal	Eine der zu klärenden Fragen ist der Zusammenhang zwischen dem Ebro-Transfer und dem Júcar-Vinalopó-Transfer .
Frage anschneiden	Figurative,Figurative,Figurative	Figurative	In meiner Einführungsrede habe ich die Frage der Funktionsüberlappung zwischen zwei Agenturen - ETF und Cedefop - angeschnitten , doch ich möchte erneut betonen , dass der Beitrag dieser Agenturen von entscheidender Bedeutung sein kann , insbesondere im Rahmen des Beschäftigungsanstiegs gemäß den Zielen der Strategie 2020 .
Beschäftigung mit Situation	Literal,Literal,Literal	Literal	Damit haben wir anerkannt , dass die Vorschläge bei weitem nicht vollkommen waren , aber zumindest einen Versuch der Beschäftigung mit der gegenwärtigen Situation darstellten .
Befassung mit Situation	Figurative,Literal,Literal	Literal	Kurzfristig bedeutet das vor allem die Gewährleistung freier und fairer Wahlen und die Befassung mit der Situation verschwundener Oppositionspolitiker und politischer Gefangener .
Erörterung Situation	Literal,Literal,Literal	Literal	Schließlich darf man bei der Erörterung der Situation mit Simbabwe einerseits die Ergebnisse der Konsultationen nicht vorwegnehmen und muss sie im Geiste des Cotonou-Abkommens durchführen , andererseits muss man auch das gegenseitige Vertrauen und das Vertrauen zwischen der EU und den AKP-Staaten pflegen .
Lage Herr werden	Figurative,Figurative,Figurative	Figurative	Die meisten Asylbewerber in Europa kommen aus Afghanistan , Iran und Sri Lanka , und zurzeit - wie wir ja nur allzu gut wissen - wird es nicht leicht sein , der Lage in Afghanistan rasch Herr zu werden : die Lage dort beobachten wir ja doch mit Schrecken .
Lage gerecht werden	Literal,Figurative,Literal	Literal	Es muss den Regierungen der einzelnen Staaten vorbehalten bleiben , ihren Haushalt so zu gestalten , dass er der besonderen und spezifischen wirtschaftlichen Lage in ihrem Land zum aktuellen Zeitpunkt am besten gerecht wird .
Problematik auf die Tagesordnung setzen	Literal,Literal,Literal	Literal	Der spanische Ratsvorsitz hat beschlossen , eine Grundsatzdebatte mit den Mitgliedstaaten ins Leben zu rufen , um die Prioritäten für die Förderung der e-Economy in Europa abzustimmen , und setzte diese Problematik auf die Tagesordnung der Tagung des Rates `` Industrie '' Anfang Juni .
Jemandem mit etw. so gehen	Figurative,Figurative,Figurative	Figurative	Jedenfalls ist es mir letzten Sommer so gegangen , als ich einen Kühlschrank und ein Gefriergerät für mein Haus gekauft habe .
Arbeitnehmer gewinnen	Figurative,Figurative,Figurative	Figurative	Drittens sollten qualifizierte Arbeitnehmer aus Drittländern gewonnen werden , wobei wir nach Ansicht unserer Arbeitsgruppe die Einwanderung nicht als einzige Lösung für Europas zukünftige demografische und arbeitsmarktpolitische Probleme ansehen sollten .
auf Fachpersonal zurückgreifen	Figurative,Figurative,Literal	Figurative	Die reichen Länder können auf Fachpersonal aus anderen Ländern zurückgreifen ; die armen Länder befinden sich damit in der Situation , dass sie medizinische Fachkräfte ausbilden , die dann das Land verlassen , wodurch sie in Umkehrung der Verhältnisse das Gesundheitswesen in entwickelten Ländern subventionieren , indem sie die Ausbildungskosten tragen .
Fachkraft anwerben	Literal,Literal,Literal	Literal	Die Lösung kann nicht nur darin bestehen , medizinische Fachkräfte aus Entwicklungsländern anzuwerben , wo der personelle Notstand noch größer ist .
Projekt streichen	Figurative,Figurative,Figurative	Figurative	Dennoch sind wir nun hier , und die Fraktion der Sozialdemokratischen Partei Europas unterstützt die Empfehlung des Berichterstatters , diese Verordnung mit den wenigen , mit dem Rat bereits prinzipiell abgestimmten Änderungen anzunehmen , um eine möglichst rasche Billigung der Verlängerung im Rahmen einer Lesung und damit die Durchführung von Projekten zur Unterstützung der Flüchtlinge im laufenden Jahr zu ermöglichen , die sonst gestrichen werden müßten .
Projekt stoppen	Literal,Literal,Literal	Literal	Noch besser wäre es , das gesamte Projekt zu stoppen und alle dafür vorgesehenen Mittel auf ein Sonderkonto einzuzahlen , aus dem dann später die enormen Kosten gedeckt werden können , die nach einem Scheitern des Euro auf uns zukommen werden .
Verwirrung schaffen	Figurative,Literal,Literal	Literal	Dieser Bericht , dessen Bezeichnung bei allen , die den Gegenstand nicht verfolgt haben , mehr Verwirrung als Klarheit schafft , umfaßt eigentlich eine Reihe separater Änderungen zur Aktualisierung der ursprünglichen Verordnung .
Verwirrung hervorrufen	Figurative,Literal,Figurative	Figurative	Die Ablehnung von Nizza riefe Verzögerungen und Verwirrung hervor .
zu Tod führen	Figurative,Literal,Literal	Literal	BSE ist eine degenerative Erkrankung , die ohnehin nicht zum plötzlichen Tod führt .
Todesfall verursachen	Literal,Literal,Literal	Literal	Mit dieser Richtlinie wird sich die Europäische Gemeinschaft bei den Bemühungen um eine Reduzierung der durch Tabakkonsum verursachten Todesfälle und Erkrankungen an vorderster Front befinden .
Befürchtung auslösen	Literal,Literal,Literal	Literal	Die Komplexität und die fehlende Übersichtlichkeit des Vertrags von Nizza waren der Grund dafür , dass so viele , zum Teil völlig irrelevante Themen in die Debatte im Vorfeld des irischen Referendums hineingezogen werden konnten . Dies hat bei der Bevölkerung Bedenken und Befürchtungen ausgelöst und dazu geführt , dass sich nur spärliche 34 % an der Volksabstimmung beteiligt haben und 54 % den Vertrag von Nizza ablehnten .
Reaktion hervorrufen	Figurative,Literal,Figurative	Figurative	Kosmetika , die einen der 26 Duftstoffe in einer Konzentration enthalten , die einen bestimmten Grenzwert überschreitet , sollen mit dem Warnhinweis `` Kann eine allergische Reaktion hervorrufen '' gekennzeichnet werden .
Gewalt verursachen	Literal,Literal,Literal	Literal	Nachdem einstige Terroristen die politischen Führer Südafrikas , Israels , der Palästinensischen Autonomiebehörde sowie einer Vielzahl ehemaliger Kolonien geworden sind , wurden sie von vielen plötzlich als redliche und achtenswerte Menschen betrachtet und wurde ihren ehemaligen Widersachern zu Recht die Schuld zugeschoben , Gewalt verursacht zu haben .
Seele verderben	Figurative,Figurative,Figurative	Figurative	Angesichts des technischen Fortschritts müssen sich unsere Vorstellungen von den Rechten der Kinder nunmehr auch auf die Sicherheit im Internet erstrecken . Denn wir haben festgestellt , dass das Internet -- trotz seiner wunderbaren Intentionen , der brillanten Innovationen und der Möglichkeiten , die es uns allen bietet -- von Menschen missbraucht wird , die unschuldige Seelen verderben und Geschäfte mit pädophilem Material und Kinderpornographie machen wollen .
Vertrauen Schade nehmen	Figurative,Figurative,Literal	Figurative	Es ist der rechte Zeitpunkt , weil das Vertrauen in die Integrität der Marktteilnehmer in den vergangenen zwei Jahren auf Grund mehrerer Fälle von Marktmissbrauch , hauptsächlich in den USA , ernsthaften Schaden genommen hat .
Vertrauen beschädigen	Figurative,Literal,Literal	Literal	Wollen wir das Vertrauen der Öffentlichkeit genießen -- daran sei erinnert -- dürfen wir ihre Unterrichtung nicht außer Acht lassen . Die blaue Fahne hat dieses Vertrauen errungen , seien wir also darauf bedacht , es nicht zu beschädigen .
Vertrauen schaden	Figurative,Literal,Literal	Literal	Selbst wenn es nur eine sehr niedrige Risikowahrscheinlichkeit gibt , schaden wir damit sowohl dem Vertrauen der Verbraucher als auch dem der Erzeuger .
über Anfechtung entscheiden	Literal,Literal,Literal	Literal	Die Regierung muß den Gerichten gestatten , über die Anfechtung der Wahlergebnisse in bestimmten Wahlkreisen zu entscheiden , und entsprechende Entscheidungen respektieren .
Vereinbarung kündigen	Literal,Literal,Literal	Literal	Deshalb müssen wir die 1959 geschlossene Vereinbarung zwischen der Internationalen Atomenergiebehörde und der Weltgesundheitsorganisation kündigen , wie dies in Artikel 12 der Vereinbarung vorgesehen ist .
Außerkraftsetzung Abkommen	Figurative,Literal,Literal	Literal	Ich kann dem Herrn Abgeordneten sagen , daß die Außerkraftsetzung eines Handelsabkommens mit Israel für die Europäische Union gar nicht zur Debatte steht .
Vertrag auflösen	Figurative,Literal,Figurative	Figurative	Diese Situation verschärfte sich im Sommer des letzten Jahres noch , als vor dem Hintergrund des Berichts , der vom Ausschuss Unabhängiger Experten vorgelegt wurde , der Vertrag mit dem Büro für technische Hilfe aufgelöst wurde , das die Durchführung dieses Programms unterstützte .
Kreislauf durchbrechen	Figurative,Figurative,Figurative	Figurative	Sowohl die israelischen als auch die palästinensischen Behörden müssen einlenken und ein gewisses Maß an Sicherheitszusammenarbeit wiederherstellen , um diesen entsetzlichen Kreislauf der Gewalt zu durchbrechen .
Ermittlung beenden	Literal,Literal,Literal	Literal	Es ist an Ägypten , uns hier in diesem Hohen Haus zu beweisen , dass es die Rechte seiner Minderheiten ernst nimmt , es ist an Ägypten , eine Ende der Diskriminierung jener Minderheiten zu fordern , sie aus dem Gefängnis zu entlassen und überall in Ägypten unverzüglich die Ermittlungen und die Inhaftierungen von Schwulen zu beenden , die Gegenstand der Besorgnis in diesem Hohen Haus sind .
Abkommen unterschriftsreif sein	Literal,Figurative,Figurative	Figurative	Mir ist auch bekannt , daß er unmittelbar nach der Paraphierung des Abkommens die Abgeordneten entsprechend informiert hat . So hat er den Herrn Abgeordneten angerufen , um ihn darüber zu informieren , daß das Abkommen unterschriftsreif ist .
Abkommen abschließen	Literal,Literal,Literal	Literal	Ich möchte damit sagen , dass ich nicht damit einverstanden wäre , wenn die Macht in der EU in andere Hände gelangen würde , denn unsere größte Sorge besteht darin , dass unser Land mit Handelsabkommen konfrontiert wird , die von einem Dritten ausgehandelt und abgeschlossen wurden , die jedoch das Vereinigte Königreich betreffen und unter Umständen nicht völlig mit unseren nationalen Interessen übereinstimmen .
Vereinbarung abschließen	Literal,Literal,Literal	Literal	Herr Präsident , ich habe vor , genau zu überprüfen , ob dieses Programm in diesem Fall angewandt werden kann , und Sie werden sicherlich Verständnis dafür haben , dass ich derzeit noch keine Stellungnahme dazu abzugeben im Stande bin , da die Vereinbarung noch nicht abgeschlossen wurde und ferner immer noch Verhandlungen über einer Reihe anderer Aspekte im Gange sind .
vorgelegten Plan	Literal,Literal,Literal	Literal	Diese Frage ist für die Kommission von großem Interesse und wurde deshalb vor kurzem in der im Oktober 2000 vorgelegten Mitteilung der Kommission zum Risikokapital-Aktionsplan behandelt .
zu Schlußergebnis gelangen	Figurative,Literal,Literal	Literal	Ich bin ziemlich sicher , daß wir mit der Unterstützung des Europäischen Parlaments in der Lage sein werden , zu einem für beiden Seiten vorteilhaften Schlußergebnis zu gelangen .
Problem vergessen	Literal,Literal,Literal	Literal	Wir sollten also bei aller Zustimmung zu dieser Richtlinie die anderen Probleme nicht vergessen .
Möglichkeit erhalten	Figurative,Figurative,Literal	Figurative	Wir unterstützen natürlich den Bildungsaustausch im Rahmen von Erasmus , Sokrates und anderen Programmen durch das Europäische Bildungsinstitut in Florenz , aber es erhalten nicht genügend Studenten die Möglichkeit , Europa kennen zu lernen .
Möglichkeit haben	Literal,Literal,Literal	Literal	Ich habe Angehörige meines Wahlbezirks in anderen Mitgliedstaaten der Europäischen Union vertreten , die dort zwei Jahre ohne Gerichtsurteil inhaftiert waren , und keine Möglichkeit der Erlangung eines Haftprüfungstermins hatten oder eine Gelegenheit erhielten , ihren Fall darzulegen .
Krankheit bekommen	Figurative,Literal,Figurative	Figurative	Es gibt einen eindeutigen Zusammenhang zwischen Bewegung und Gesundheit , sprich bestimmte Krankheiten , die man bekommen kann , wenn man sich nicht vernünftig bewegt .
erkranken	Literal,Literal,Literal	Literal	Warum soll man die ganze Herde schlachten , wenn eines dieser Tiere erkrankt ?
Information erhalten	Literal,Figurative,Literal	Literal	Normalerweise schenke ich den Werbeinformationen , die ich in diesem Parlament erhalte - vor allem wenn sie von der Industrie kommen - , kaum Beachtung , doch setzte mich der Slogan `` Cosmetics - your choice , our responsibility '' vom Verbindungsausschuss der Europäischen Industrie-Verbände für Parfümerie - und Körperpflegemittel doch in Erstaunen .
Information ablesen	Literal,Literal,Figurative	Literal	Alle Abgeordneten , so auch Herr Pomés Ruiz und Herr Dell ` Alba und alle anderen , die derartige Fragen haben , können in dieser Tabelle leicht den aktuellsten Stand der Informationen ablesen , der derzeit der Europäischen Union einschließlich der Kommission selbst zur Verfügung steht .
Einzelheit vorlegen	Figurative,Literal,Literal	Literal	Mir liegen keine Einzelheiten zum Einsatz der Guardia Civil in diesem speziellen Fall vor , aber ich nehme an , dass es sich so verhält , wie ich sagte .
Information (un)zugänglich	Figurative,Figurative,Literal	Figurative	Die Kommission und der Rat verfügen über all die Informationen , die für uns unzugänglich sind .
Botschaft vernehmen	Literal,Literal,Literal	Literal	Wir haben die Botschaft des Parlaments sehr eindeutig vernommen .
Gelegenheit erhalten	Figurative,Figurative,Literal	Figurative	Zahlreiche NRO erhielten bei dieser Sitzung Gelegenheit , ihre Meinung über die Probleme in den wichtigsten Ländern sowie über thematischen Fragen zu äußern , und dieser Beitrag wird im Beschlussfassungsprozess sicher hilfreich sein .
Problem vorstehen	Figurative,Literal,Figurative	Figurative	Slowenien steht also vor einem schwerwiegenden Problem .
Mit Ergebnis belohnen	Figurative,Literal,Figurative	Figurative	All dies muß geschehen , damit unsere Vorarbeiten und unser finanzieller Aufwand mit bestmöglichen Ergebnissen belohnt werden .
Ergebnis erziehlen	Figurative,Literal,Literal	Literal	Ich möchte meiner Kollegin , Frau Evans , gratulieren , die diese Debatte in Gang gesetzt und heute ein so gutes Ergebnis erzielt hat .
Ergebnis erhalten	Figurative,Figurative,Literal	Figurative	Wenn es möglich ist , die Abgeordneten im Parlamentsgebäude darauf aufmerksam zu machen , dass im Plenarsaal eine Abstimmung stattfindet , und die Sitzung solange zu unterbrechen , bis sie hier eingetroffen sind , werden wir vielleicht ein repräsentativeres Ergebnis erhalten .
Wirtschaft verbessern	Literal,Literal,Literal	Literal	Sie kann die dort vorhandenen Aktivitäten ergänzen und dabei helfen , die Wirtschaft der Europäischen Union in einer Zeit zu verbessern , in der Arbeitslosigkeit wieder einmal zu einem Problem wird .
wirtschaftliche Lage verbessern	Literal,Literal,Literal	Literal	Notwendig ist dies für die Textilarbeiter innerhalb der EU sowie auch für die vielen in anderen Teilen der Welt , die sich durch die Textilindustrie ihren Lebensunterhalt verdienen und durch sie ihre wirtschaftliche Lage und ihr Leben verbessern wollen .
Wirtschaft stärken	Figurative,Figurative,Figurative	Figurative	Die einst dem Sowjetblock angehörenden mittel - und osteuropäischen Länder haben es vermocht , aus eigener Kraft ihre Wirtschaften zu stärken und den Lebensstandard ihrer Völker zu erhöhen .
Stärkung Wirtschaft	Figurative,Figurative,Figurative	Figurative	Die Bereitstellung humanitärer Hilfe kann nur eine kurzfristige Strategie sein , die Stärkung der Wirtschaft muss unser Ziel sein .
zum Wohle der Wirtschaft	Figurative,Figurative,Figurative	Figurative	Dabei kommt es auf eine ausgewogene Entwicklung an . Einerseits gilt es , die Naturschönheiten , das Erbe und die Umwelt , die die Attraktivität einer Region ausmachen , zu schützen , während gleichzeitig die touristischen Merkmale zum Wohle der lokalen Wirtschaft voll genutzt werden müssen .
Leistung verbessern	Literal,Literal,Literal	Literal	Mein Ausschuß ist der Ansicht , daß die Mittel , so unzureichend sie im Moment sind , dazu genutzt werden sollten , die vorhandenen Einrichtungen und Leistungen zu verbessern . Deshalb streben wir auch eine längerfristige Strategie für die Entwicklung von Leistungen für Flüchtlinge und Vertriebene an , damit diese als Gleichberechtigte aktiv an der Gesellschaft teilhaben können .
Dienst verbessern	Literal,Literal,Literal	Literal	Anstatt den Haushalt zu kürzen , sollten wir überlegen , wie wir den Sicherheitsdienst verbessern können , und wir sollten uns folgende Frage stellen : sollten wir einen eigenen Sicherheitsdienst haben oder diese Leistungen erneut ausschreiben , anstatt einfach den Haushalt zu kürzen ?
Verbesserung Dienstleistung	Literal,Literal,Literal	Literal	Die Staats - und Regierungschefs der Europäischen Union haben bei diesem Treffen unterstrichen , wie wichtig die Verbesserung der Telekommunikations-Dienstleistungen ist .
Verbesserung Situation	Literal,Literal,Literal	Literal	Wir sollten einen freimütigen Dialog über all die Maßnahmen führen , die von den Partnerregierungen zur Verbesserung der Menschenrechtssituation zu ergreifen sind .
Lage verbessern	Literal,Literal,Literal	Literal	Ich hoffe , daß wir einige in diesem Bericht vorgeschlagenen Punkte aufgreifen und die Lage der Bürger damit verbessern werden .
Situation verbessern	Literal,Literal,Literal	Literal	Die Kommission unterstützt darüber hinaus mit dem Ziel , die Situation von Kindern zu verbessern , Maßnahmen im sozialen und im Bildungsbereich .,Die Berichte des Rechnungshofs machen deutlich , dass noch Spielraum für radikale Verbesserungen vorhanden ist , und die Kommission hat bereits eine neue Strukturfondsverordnung in Kraft gesetzt , um die Situation zu verbessern und wird natürlich sehr aufmerksam verfolgen , ob diese Reformen umfassend genug waren .
Sachlage verbessern	Literal,Literal,Literal	Literal	Er spiegelt den Konsens zwischen unseren Organen und den Mitgliedstaaten wider , mit denen wir das Thema in den vergangenen Monaten erörtert haben , und die unsere Auffassung teilen , dass die Sachlage verbessert werden muss , auf die die Petenten so beeindruckend aufmerksam gemacht haben .
sich an Situation ändern	Literal,Literal,Literal	Literal	Wenn sich an dieser Situation nichts ändert , welche Disziplinarmaßnahmen könnten gegen Abgeordnete ergriffen werden , die Saaldienern den Respekt verweigern ?
Verbesserung Umweltschutz	Literal,Literal,Literal	Literal	Die Kommission bekräftigt ihr Engagement zur Stärkung unserer mittel - und langfristigen Unterstützung für die Verbesserung des Gesundheits - und Umweltschutzes auf dem Balkan . Ich danke Ihnen für Ihre Aufmerksamkeit .
